Country_Code,Country_Name,Region
VCT,Saint Vincent and the Grenadines,North America
WSM,Samoa,Oceania
SMR,San Marino,Europe
STP,Sao Tome and Principe,Africa
SAU,Saudi Arabia,Asia
SEN,Senegal,Africa
SRB,Serbia,Europe
SYC,Seychelles,Africa
SLE,Sierra Leone,Africa
SGP,Singapore,Asia
SXM,Sint Maarten (Dutch part),North America
SVK,Slovakia,Europe
SVN,Slovenia,Europe
SLB,Solomon Islands,Oceania
SOM,Somalia,Africa
ZAF,South Africa,Africa
WB_SA,South Asia (WB),
KOR,South Korea,Asia
ESP,Spain,Europe
LKA,Sri Lanka,Asia
WB_SSA,Sub-Saharan Africa (WB),
SDN,Sudan,Africa
SUR,Suriname,South America
SWE,Sweden,Europe
CHE,Switzerland,Europe
SYR,Syria,Asia
TJK,Tajikistan,Asia
TZA,Tanzania,Africa
THA,Thailand,Asia
TGO,Togo,Africa
TON,Tonga,Oceania
TTO,Trinidad and Tobago,North America
TUN,Tunisia,Africa
TUR,Turkey,Asia
TKM,Turkmenistan,Asia
TCA,Turks and Caicos Islands,North America
TUV,Tuvalu,Oceania
UGA,Uganda,Africa
UKR,Ukraine,Europe
ARE,United Arab Emirates,Asia
GBR,United Kingdom,Europe
USA,United States,North America
VIR,United States Virgin Islands,North America
OWID_UMC,Upper-middle-income countries,
URY,Uruguay,South America
UZB,Uzbekistan,Asia
VUT,Vanuatu,Oceania
VNM,Vietnam,Asia
OWID_WRL,World,
ZMB,Zambia,Africa
ZWE,Zimbabwe,Africa
UN_AFR,Africa (UN),
ASM,American Samoa,Oceania
AIA,Anguilla,North America
UN_ASI,Asia (UN),
VGB,British Virgin Islands,North America
OWID_CIS,Channel Islands,
COK,Cook Islands,Oceania
CUB,Cuba,North America
ERI,Eritrea,Africa
UN_EUR,Europe (UN),
GUF,French Guiana,South America
PYF,French Polynesia,Oceania
GIB,Gibraltar,Europe
GLP,Guadeloupe,North America
GUM,Guam,Oceania
IMN,Isle of Man,Europe
UN_LAC,Latin America and the Caribbean (UN),
LIE,Liechtenstein,Europe
MTQ,Martinique,North America
MYT,Mayotte,Africa
MCO,Monaco,Europe
MSR,Montserrat,North America
NCL,New Caledonia,Oceania
UN_NAM,Northern America (UN),
UN_OCE,Oceania (UN),
REU,Reunion,Africa
SHN,Saint Helena,Africa
MAF,Saint Martin (French part),North America
SPM,Saint Pierre and Miquelon,North America
SSD,South Sudan,Africa
VAT,Vatican,Europe
VEN,Venezuela,South America
YEM,Yemen,Asia
